# Correlation function shape: (8, 1, 1, 16, 32)
# Format: [WL_index][pol][qext][gamma][time] value
# Shape dimensions: (WL_indices, polarizations, momentum_transfers, gamma_matrices, time_slices)

 -4.15674875e+04+9.38748619e+04j -1.81119974e+04+2.50580415e+04j
 -5.57043140e+03+1.46188980e+04j  4.33833730e+01+7.95243195e+02j
  2.49583507e+02+2.57210131e+02j  2.54031118e+02+1.13775896e+02j
  2.44256456e+02+9.39508714e+01j  8.76385942e+01+4.09909078e+01j
  2.88562051e+01+5.88944712e+00j  6.38641201e+00+1.50765517e+00j
  1.62642309e+00+1.30646860e-01j  3.05268731e-01+2.17347925e-01j
  2.07912003e-01+1.30639000e-01j  1.42862606e-01+1.44023393e-01j
  3.97345880e-01+7.74975966e-01j  3.12836266e+00+2.06631232e+00j
  1.00774216e+01+2.86984045e+00j  2.90743787e+01-7.80584497e+00j
  1.13348081e+02-2.77318224e+01j  4.92894110e+02-5.15316919e+01j
  1.17368258e+03+4.73987947e+02j  7.32138806e+02+2.26642424e+03j
  7.30548196e+03+1.34802980e+04j  3.24243659e+04+7.57586355e+04j
  1.80789710e+05+1.80759449e+05j  3.20878931e+05+3.64479786e+05j]
WL1_P0_Q0_X: [-2.61419084e+06-6.32728697e+04j -4.36660744e+06-1.95862362e+05j
 -3.40208719e+06-2.86457150e+06j -1.92995175e+06+1.30239489e+06j
 -7.88440296e+05-2.48795229e+06j -3.07883623e+05-7.96992356e+05j
 -1.98828746e+05-1.96245493e+05j -6.47056929e+04-1.53251898e+04j
 -8.66245826e+03-5.63633333e+03j -3.49077529e+03-3.40219525e+01j
 -1.47765065e+02+4.17623336e+02j -8.56844332e+01+1.51157304e+02j
  5.33118518e+01-2.39294506e+01j  3.94234456e+01-1.30600209e+01j
  1.32495774e+01-1.20989309e+01j  3.45556831e+00-2.69566878e+00j
  1.21374369e+00+7.15510454e-02j  4.84694514e-01+5.74112017e-02j
  1.45877064e-01+9.60041845e-02j  1.44020841e-01-3.80825711e-03j
  1.90899613e-01-2.47453330e-01j -1.14419779e-01-1.40016300e+00j
  1.30278519e+00-6.90210942e+00j -1.00895278e+01-1.73876517e+01j
 -1.50018778e+01-1.99571437e+01j  4.64087568e+01-4.20967322e+02j
  4.88334779e+01-1.89326957e+03j -5.06261753e+02-5.12258961e+03j
 -2.27968189e+02-1.22375235e+04j -4.53657288e+03-4.89055997e+04j
 -1.00951623e+05-6.06081754e+04j -5.44716235e+05-9.25638923e+04j]
WL1_P0_Q0_X5: [ 3.50933935e+06+3.94001923e+06j  5.16399919e+06+2.35522643e+06j
  6.66440139e+06+3.80956818e+06j  1.32228834e+06+1.95035377e+06j
